"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Prisma", "comment", "blank", "total"
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\.adonisrc.json", "JSON", 42, 0, 0, 0, 0, 0, 42
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\ace-manifest.json", "JSON", 101, 0, 0, 0, 0, 1, 102
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\app\Controllers\Http\NotasController.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\app\Controllers\Http\TodosController.ts", "TypeScript", 0, 0, 425, 0, 5, 55, 485
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\app\Exceptions\Handler.ts", "TypeScript", 0, 0, 7, 0, 14, 3, 24
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\commands\index.ts", "TypeScript", 0, 0, 3, 0, 15, 2, 20
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\config\app.ts", "TypeScript", 0, 0, 37, 0, 180, 19, 236
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\config\bodyparser.ts", "TypeScript", 0, 0, 42, 0, 154, 16, 212
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\config\cors.ts", "TypeScript", 0, 0, 18, 0, 106, 11, 135
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\config\drive.ts", "TypeScript", 0, 0, 15, 0, 125, 10, 150
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\config\hash.ts", "TypeScript", 0, 0, 28, 0, 63, 6, 97
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\contracts\drive.ts", "TypeScript", 0, 0, 5, 0, 6, 3, 14
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\contracts\env.ts", "TypeScript", 0, 0, 5, 0, 17, 3, 25
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\contracts\events.ts", "TypeScript", 0, 0, 4, 0, 26, 2, 32
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\contracts\hash.ts", "TypeScript", 0, 0, 5, 0, 6, 3, 14
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\contracts\tests.ts", "TypeScript", 0, 0, 7, 0, 8, 4, 19
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\env.ts", "TypeScript", 0, 0, 9, 0, 13, 3, 25
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\package-lock.json", "JSON", 7338, 0, 0, 0, 0, 1, 7339
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\package.json", "JSON", 31, 0, 0, 0, 0, 1, 32
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\prisma\schema.prisma", "Prisma", 0, 0, 0, 117, 2, 9, 128
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\providers\AppProvider.ts", "TypeScript", 0, 0, 13, 0, 4, 6, 23
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\server.ts", "TypeScript", 0, 0, 7, 0, 11, 4, 22
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\start\kernel.ts", "TypeScript", 0, 0, 6, 0, 35, 3, 44
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\start\routes.ts", "TypeScript", 0, 0, 13, 0, 19, 4, 36
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\test.ts", "TypeScript", 0, 0, 25, 0, 13, 8, 46
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\tests\bootstrap.ts", "TypeScript", 0, 0, 14, 0, 50, 6, 70
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\tests\functional\hello_world.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 3, 9
"c:\Users\Gonzales\Desktop\EMI\adonis-prisma-mongodb\tsconfig.json", "JSON with Comments", 0, 4, 0, 0, 31, 0, 35
"Total", "-", 7512, 4, 694, 117, 903, 187, 9417
